company_name,industry,website,telephone,fax,address,address_maplink,email_home
Keller Holzbau AG,"Holzbau, Zimmerei",http://www.holzleimbau.ch/,tel:071 966 26 11,NA,"Wilerstrasse 82
8370 Sirnach",https://www.google.com/maps/place/Wilerstrasse%2082+8370+Sirnach,
Hürbi Hauswartungen,Hausmeisterdienste; Facility Management,http://www.huerbi-hauswartungen.ch/,tel:061 599 84 41,NA,"Gehrenweg 11
4226 Breitenbach",https://www.google.com/maps/place/Gehrenweg%2011+4226+Breitenbach,
"Stöckli Treuhand, Manuela Stöckli",Wirtschaftsprüfung und Steuerberatung; Buchführung; Treuhandgesellschaften,http://www.stoeckli-treuhand.ch/,tel:062 756 07 93,NA,"Dubenmatt 8a
6026 Rain",https://www.google.com/maps/place/Dubenmatt%208a+6026+Rain,
Blue Design GmbH,lnstandhaltung und Reparatur von Automobilen,NA,tel:062 822 35 78,fax:062 891 00 61,"Sägestrasse 51
5600 Lenzburg",https://www.google.com/maps/place/S%C3%A4gestrasse%2051+5600+Lenzburg,website not accessible
NEFF AG flawil automobile,lnstandhaltung und Reparatur von Automobilen,http://www.neff-automobile.ch/,tel:071 394 15 80,fax:071 394 15 89,"Wilerstrasse 247
9230 Flawil",https://www.google.com/maps/place/Wilerstrasse%20247+9230+Flawil,info@neff-automobile.ch
Vögeli Kaminbau AG,Sonstiger spezialisierter Hoch- und Tiefbau a. n. g.,https://www.voegeli-kaminbau.ch/,tel:071 663 70 30,NA,"Im Blahi
8573 Alterswilen",https://www.google.com/maps/place/Im%20Blahi+8573+Alterswilen,8c4075d5481d476e945486754f783364@sentry.io
GF General Building GmbH,Aktivitäten der Generalunternehmen im Baugewerbe,NA,tel:044 886 33 55,NA,"Länggenstrasse 28
8184 Bachenbülach",https://www.google.com/maps/place/L%C3%A4nggenstrasse%2028+8184+Bachenb%C3%BClach,website not accessible
Gebr.Tinner GmbH,Allgemeiner Hoch- und Tiefbau ohne ausgeprägten Schwerpunkt,http://www.tinner-tiefbau.ch/,tel:081 757 28 31,fax:081 757 25 34,"Brüel 1
9468 Sax",https://www.google.com/maps/place/Br%C3%BCel%201+9468+Sax,website not accessible
Hotel Solaria,"Hotels, Gasthöfe und Pensionen mit Restaurant",http://www.hotelsolariabivio.ch/,tel:081 684 51 07,fax:081 684 52 90,7457 Bivio,https://www.google.com/maps/place/undefined+7457+Bivio,info@hotelsolariabivio.ch
Otto Schweizer Handels AG,Detailhandel mit Eisen- und Metallwaren,http://www.w-antenen.ch/,tel:062 296 26 20,fax:062 296 34 23,"Aarburgerstrasse 103
4600 Olten",https://www.google.com/maps/place/Aarburgerstrasse%20103+4600+Olten,
Hotel Eiger,"Hotels, Gasthöfe und Pensionen mit Restaurant",http://www.hoteleiger.com/,tel:033 856 54 54,fax:033 856 54 56,3825 Mürren,https://www.google.com/maps/place/undefined+3825+M%C3%BCrren,info@hoteleiger.com
baupoint handels ag,Grosshandel mit Baustoffen,http://www.baupoint.ch/,tel:062 888 22 88,fax:062 888 22 99,"Wiesenweg 47
5102 Rupperswil",https://www.google.com/maps/place/Wiesenweg%2047+5102+Rupperswil,rupperswil@baupoint.ch
