company_name,industry,website,telephone,fax,address,address_maplink,email_all
Hanspeter Hess,"Detailhandel mit Automobilen mit einem Gesamtgewicht von 3,5 t oder weniger",NA,tel:044 869 13 82,NA,"Schaffhauserstrasse 37
8193 Eglisau",https://www.google.com/maps/place/Schaffhauserstrasse%2037+8193+Eglisau,website not accessible
AW Holzbau GmbH,"Holzbau, Zimmerei",http://www.aw-holzbau.ch/,tel:027 956 12 07,fax:027 956 12 77,"Steinet 422
3925 Grächen",https://www.google.com/maps/place/Steinet%20422+3925+Gr%C3%A4chen,website not accessible
Burgfluh Pneuserv.+ Autozub.,lnstandhaltung und Reparatur von Automobilen,NA,tel:041 820 55 71,NA,"Gersauerstrasse 82
6440 Brunnen",https://www.google.com/maps/place/Gersauerstrasse%2082+6440+Brunnen,website not accessible
Rupp-Tanner Schuhe,Detailhandel mit Schuhen,http://www.rupp-tanner.ch/,tel:062 723 23 44,fax:062 723 25 88,"Aarauerstrasse 16
5036 Oberentfelden",https://www.google.com/maps/place/Aarauerstrasse%2016+5036+Oberentfelden,info@rupp-tanner.ch
Bodensee Backwaren,Herstellung von Dauerbackwaren,NA,tel:071 846 88 60,fax:071 846 88 61,"Bahnhofstrasse 17
9326 Horn",https://www.google.com/maps/place/Bahnhofstrasse%2017+9326+Horn,website not accessible
Schwarzer AG,Sonstige Bauinstallation,http://www.schwarzer.ch/,tel:062 285 33 33,fax:062 285 33 34,"Härdli 11a
4657 Dulliken",https://www.google.com/maps/place/H%C3%A4rdli%2011a+4657+Dulliken,info@schwarzer.ch
"Hotel Alex, Susy Imhof","Hotels, Gasthöfe und Pensionen mit Restaurant",http://www.hotelalex.ch/,tel:027 922 44 88,fax:027 924 25 44,"Furkastrasse 88
3904 Naters",https://www.google.com/maps/place/Furkastrasse%2088+3904+Naters,website not accessible
F.Tobler AG,Event-Caterer,http://www.festportal.ch/,tel:062 756 62 10,fax:062 756 62 14,"Eichbühl 14
6246 Altishofen",https://www.google.com/maps/place/Eichb%C3%BChl%2014+6246+Altishofen,dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com
Urs Gloor,Grosshandel mit Uhren,NA,tel:056 442 59 44,NA,"Linn 32
5225 Bözberg",https://www.google.com/maps/place/Linn%2032+5225+B%C3%B6zberg,website not accessible
PAPE Werbe AG,"Messe-, Ausstellungs- und Kongressveranstalter",http://www.pape-werbe-ag.ch/,tel:044 751 80 80,fax:044 751 80 81,"Im Gewerbepark 2
8104 Weiningen ZH",https://www.google.com/maps/place/Im%20Gewerbepark%202+8104+Weiningen%20ZH,info@pape3D.ch
Bühler Maler & Gipser AG,Malerei und Gipserei ohne ausgeprägten Schwerpunkt,http://www.buehler.ag/,tel:056 426 21 78,fax:056 426 21 88,"Steigstrasse 20
5300 Turgi",https://www.google.com/maps/place/Steigstrasse%2020+5300+Turgi,bad link
Imprimerie Vallorbe SA,Erbringung von druckvorbereitenden Dienstleistungen,http://www.imprimerievallorbe.ch/,tel:021 843 95 00,fax:021 843 95 06,"rue Ancienne-Poste 29
1337 Vallorbe",https://www.google.com/maps/place/rue%20Ancienne-Poste%2029+1337+Vallorbe,bad link
RK Bau AG,"Anbringen von Stuckaturen, Gipserei und Verputzerei",http://www.rk-bauag.ch/,tel:041 280 85 80,NA,"Station-West 10
6023 Rothenburg",https://www.google.com/maps/place/Station-West%2010+6023+Rothenburg,info@rk-bauag.ch
Huber Schuh AG,Detailhandel mit Schuhen,NA,tel:061 461 09 66,NA,"Hauptstrasse 76
4132 Muttenz",https://www.google.com/maps/place/Hauptstrasse%2076+4132+Muttenz,website not accessible
Immo ML AG,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",NA,tel:061 975 77 11,NA,"Hauptstrasse 134
4450 Sissach",https://www.google.com/maps/place/Hauptstrasse%20134+4450+Sissach,website not accessible
GE-MAN GLOBAL AG,Webportale,NA,NA,NA,"Gotthardstrasse 3
6300 Zug",https://www.google.com/maps/place/Gotthardstrasse%203+6300+Zug,website not accessible
MZ Trading GmbH,"Handelsvermittlung und Grosshandel mit Automobilen mit einem Gesamtgewicht von 3,5 t oder weniger",http://www.mz-trading.ch/,tel:055 416 16 61,NA,"Luziaweg 6
8807 Freienbach",https://www.google.com/maps/place/Luziaweg%206+8807+Freienbach,info@mz-trading.ch
Bernhard Summermatter,Architekturbüros,NA,tel:027 946 52 12,NA,"Kleegärtenstrasse 71
3930 Visp",https://www.google.com/maps/place/Kleeg%C3%A4rtenstrasse%2071+3930+Visp,website not accessible
SUISSE SHOP,Versand- und Internet-Detailhandel,http://www.lechef.ch/,tel:026 470 20 30,NA,"Place de la Gare 2
1663 Pringy",https://www.google.com/maps/place/Place%20de%20la%20Gare%202+1663+Pringy,NA
stephans.ch,Bewertungen,http://www.stephans.ch/,NA,NA,"Rugenparkstrasse 18
3800 Interlaken",https://www.google.com/maps/place/Rugenparkstrasse%2018+3800+Interlaken,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
Schmidli Bau AG,Allgemeiner Hoch- und Tiefbau ohne ausgeprägten Schwerpunkt,http://www.schmidli-bau.ch/,tel:043 433 43 43,fax:043 433 43 44,"Tannewäg 26
8197 Rafz",https://www.google.com/maps/place/Tannew%C3%A4g%2026+8197+Rafz,website not accessible
