company_name,industry,website,telephone,fax,address,address_maplink,email
Rhomberg Schmuck AG,Detailhandel mit Uhren und Schmuck,http://www.schmuck.ch/,tel:071 310 15 80,NA,"Zürcher-Strasse
9015 St. Gallen",https://www.google.com/maps/place/Z%C3%BCrcher-Strasse+9015+St.%20Gallen,email not found on website
GanzImmo AG,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",http://www.ganzimmo.ch/,tel:052 213 56 65,fax:052 213 31 74,"Schaffhauserstrasse 79
8401 Winterthur",https://www.google.com/maps/place/Schaffhauserstrasse%2079+8401+Winterthur,email not found on website
Coiffure Daniel Moll,Artikel im Shop,http://www.coiffeur-kriens.com/,tel:041 310 05 41,NA,"Amlehnstrasse 54
6010 Kriens",https://www.google.com/maps/place/Amlehnstrasse%2054+6010+Kriens,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
Rondell AG,"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen",NA,tel:041 320 53 73,NA,"Weinhalde 12
6010 Kriens",https://www.google.com/maps/place/Weinhalde%20%2012+6010+Kriens,website does not exist
Rémy Bühler Malergeschäft Rothrist,Malerei,http://www.maler-buehler.ch/,tel:062 794 44 64,NA,"Pfaffernweg 7
4852 Rothrist",https://www.google.com/maps/place/Pfaffernweg%207+4852+Rothrist,cid_image001_png@01D443CD.png
Fussballclub Ebikon,Sportvereine,NA,tel:041 226 28 60,NA,6030 Ebikon,https://www.google.com/maps/place/undefined+6030+Ebikon,website does not exist
Garage Cristallina SA,Artikel im Shop,http://www.cristallina.ch/,tel:091 791 13 20,fax:091 791 51 19,"Via Circonvallazione 3
6612 Ascona",https://www.google.com/maps/place/Via%20Circonvallazione%203+6612+Ascona,info@cristallina.ch
BEE Generalunternehmung AG,Aktivitäten der Generalunternehmen im Baugewerbe,http://www.bee-gu.ch/,tel:031 790 23 23,fax:031 790 23 20,"Emmentalstrasse 11
3510 Konolfingen",https://www.google.com/maps/place/Emmentalstrasse%2011+3510+Konolfingen,email not found on website
K. K. Strittmatter,Inserate,https://www.konrads.villas/,tel:079 787 57 21,NA,"Im Moos 1
6340 Baar",https://www.google.com/maps/place/Im%20Moos%201+6340+Baar,kst@konrads.villas
Rohrer-Marti AG,"Grosshandel mit Bergwerks-, Bau- und Baustoffmaschinen",http://www.rohrer-marti.ch/,tel:031 910 30 40,fax:031 910 30 41,"Industriestrasse 53
3052 Zollikofen",https://www.google.com/maps/place/Industriestrasse%2053+3052+Zollikofen,email not found on website
MoBau Partner AG,Grosshandel mit Baustoffen,http://www.mobau.ch/,tel:041 268 81 37,fax:041 268 81 38,"Schachenstrasse 4b
6020 Emmenbrücke",https://www.google.com/maps/place/Schachenstrasse%204b+6020+Emmenbr%C3%BCcke,website does not exist
Knupp Bau AG,Allgemeiner Hoch- und Tiefbau ohne ausgeprägten Schwerpunkt,http://www.knupp.ch/,tel:041 462 71 20,fax:041 462 71 21,"Kirchstrasse 6
6205 Eich",https://www.google.com/maps/place/Kirchstrasse%206+6205+Eich,info@knupp.ch
Clément Roger + Co.,Güterbeförderung im Strassenverkehr,NA,tel:062 961 28 65,fax:062 961 78 26,"Gewerbestrasse 1
4556 Aeschi SO",https://www.google.com/maps/place/Gewerbestrasse%201+4556+Aeschi%20SO,website does not exist
Chartreuse-Garage,lnstandhaltung und Reparatur von Automobilen,NA,tel:033 244 55 66,NA,"Staatsstrasse 156
3626 Hünibach",https://www.google.com/maps/place/Staatsstrasse%20156+3626+H%C3%BCnibach,website does not exist
Alois Hartmann,"Holzbau, Zimmerei",NA,tel:041 755 25 74,NA,"Industriestrasse 11
6345 Neuheim",https://www.google.com/maps/place/Industriestrasse%2011+6345+Neuheim,website does not exist
Garage Beat Zbinden,Detailhandel mit Motorenkraftstoffen (Tankstellen),NA,NA,NA,"Hauptstrasse 26
1719 Zumholz",https://www.google.com/maps/place/Hauptstrasse%2026+1719+Zumholz,website does not exist
Revalora AG,Sanitärinstallation,NA,tel:062 893 37 78,NA,"Hauptstrasse 20
5113 Holderbank AG",https://www.google.com/maps/place/Hauptstrasse%2020+5113+Holderbank%20AG,website does not exist
Bollhalder Systemabdichtungen AG,Abdichtungen,http://www.systemabdichtungen.ch/,tel:044 887 73 88,fax:044 887 73 13,"Summerau 12
8618 Oetwil am See",https://www.google.com/maps/place/Summerau%2012+8618+Oetwil%20am%20See,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
Mondileder-Eslan AG,Fondsmanagement,NA,tel:044 945 66 44,NA,"Hölzliwisenstrasse 2
8604 Volketswil",https://www.google.com/maps/place/H%C3%B6lzliwisenstrasse%202+8604+Volketswil,website does not exist
Moor Lifestyle GmbH,Berufliche Erwachsenenbildung,http://www.schweiz.asentiv.com/,NA,NA,"Via B. Pabio 3
6612 Ascona",https://www.google.com/maps/place/Via%20B.%20Pabio%203+6612+Ascona,bad/broken link to website
HOWEAS HOLDING AG,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",NA,tel:032 355 34 53,NA,"Schützenstrasse 3
4532 Feldbrunnen",https://www.google.com/maps/place/Sch%C3%BCtzenstrasse%203+4532+Feldbrunnen,website does not exist
Hefti Ins AG,Bewertungen,http://www.hefti-kuechen.ch/,tel:032 312 96 96,fax:032 312 96 90,"Rebstockweg 14
3232 Ins",https://www.google.com/maps/place/Rebstockweg%2014+3232+Ins,info@hefti-kuechen.ch
Macom Manser GmbH,Copy Shops,NA,tel:071 727 10 90,fax:071 727 10 91,"Diepoldsauerstrasse 17
9443 Widnau",https://www.google.com/maps/place/Diepoldsauerstrasse%2017+9443+Widnau,website does not exist
Eric Wüst,"Vermittlung von Grundstücken, Gebäuden und Wohnungen für Dritte",NA,tel:032 753 86 76,NA,"ch.Côtes-Bugnot 2
2520 La Neuveville",https://www.google.com/maps/place/ch.C%C3%B4tes-Bugnot%202+2520+La%20Neuveville,website does not exist
Fasolin Martin,Vorbereitende Baustellenarbeiten,NA,NA,NA,"Bielstrasse 6
2558 Aegerten",https://www.google.com/maps/place/Bielstrasse%206+2558+Aegerten,website does not exist
Atelier Signboard Heimgartner,Malerei,NA,tel:061 643 14 00,fax:061 643 14 01,"Schützenrainweg 10
4125 Riehen",https://www.google.com/maps/place/Sch%C3%BCtzenrainweg%2010+4125+Riehen,website does not exist
Blumenhaus Viola,Anbau von sonstigen einjährigen Pflanzen,http://www.blumenhaus-viola.ch/,tel:062 794 10 33,fax:062 794 11 13,"Bernstrasse 118
4852 Rothrist",https://www.google.com/maps/place/Bernstrasse%20118+4852+Rothrist,info@blumenhaus-viola.ch
EW Sirnach AG,Elektrizitätserzeugung,http://www.ewsirnach.ch/,tel:071 969 44 88,fax:071 969 44 89,"Mattenrainstrasse 9
8370 Sirnach",https://www.google.com/maps/place/Mattenrainstrasse%209+8370+Sirnach,email not found on website
Reitverein Schaffhausen,Sonstige Interessenvertretungen und Vereinigungen a. n. g.,http://rvs.ch/,tel:052 643 56 08,NA,"Schweizersbildstrasse 77
8200 Schaffhausen",https://www.google.com/maps/place/Schweizersbildstrasse%2077+8200+Schaffhausen,email not found on website
ML AG,Aktivitäten der Generalunternehmen im Baugewerbe,NA,tel:026 670 73 37,fax:026 670 73 38,"Rebli 20
3215 Büchslen",https://www.google.com/maps/place/Rebli%2020+3215+B%C3%BCchslen,website does not exist
Daltec SA,"Herstellung von Karosserien, Aufbauten und Anhängern",http://www.daltec.ch/,tel:026 675 30 40,NA,"Route de l'Industrie 85
1564 Domdidier",https://www.google.com/maps/place/Route%20de%20l'Industrie%2085+1564+Domdidier,bad/broken link to website
trauffer werbet. sport fitness gmbh,Artikel im Shop,http://www.trauffer-werbetechnik.ch/,tel:033 951 36 64,NA,"Steinbruchweg 4a
3855 Brienz BE",https://www.google.com/maps/place/Steinbruchweg%204a+3855+Brienz%20BE,graphic.noel@bluewin.ch
H Hartmann & Partner AG,Wirtschaftsprüfung und Steuerberatung; Buchführung; Treuhandgesellschaften,NA,tel:061 901 71 45,fax:061 901 73 31,"Oristalstrasse 29
4410 Liestal",https://www.google.com/maps/place/Oristalstrasse%2029+4410+Liestal,website does not exist
Wälchli & Partner AG,Bau-Ingenieurbüros,http://www.dwing.ch/,tel:062 919 70 00,fax:062 919 70 01,"Brunnhofstrasse 11
4900 Langenthal",https://www.google.com/maps/place/Brunnhofstrasse%2011+4900+Langenthal,logo_usic@2x.png
Rohrer Gartenbau und,Garten- und Landschaftsbau sowie Erbringung von sonstigen gärtnerischen Dienstleistungen,http://www.gartendecor.ch/,tel:041 660 86 89,NA,"Birkenweg 7
6072 Sachseln",https://www.google.com/maps/place/Birkenweg%207+6072+Sachseln,email not found on website
Reut Schreinerei AG,Artikel im Shop,http://www.reut-schreinerei.ch/,tel:071 633 25 77,NA,"Dorfstrasse 9
8576 Mauren TG",https://www.google.com/maps/place/Dorfstrasse%209+8576+Mauren%20TG,info@reut-schreinerei.ch
city office ag,Detailhandel mit Schreibwaren und Bürobedarf,http://www.cityofficeag.ch/,tel:071 552 00 52,NA,"Elsenackerstrasse 19
9450 Altstätten SG",https://www.google.com/maps/place/Elsenackerstrasse%2019+9450+Altst%C3%A4tten%20SG,email not found on website
FRANZ SCHALLER AG,Sanitärinstallation und Spenglerei,NA,tel:062 929 28 48,fax:062 929 12 49,"Bahnhofstrasse 39
4914 Roggwil BE",https://www.google.com/maps/place/Bahnhofstrasse%2039+4914+Roggwil%20BE,website does not exist
René Kaufmann,"lnstallation von Heizungs-, Lüftungs- und Klimaanlagen",NA,tel:062 842 66 87,fax:062 842 66 87,"Moortalstrasse 36
5722 Gränichen",https://www.google.com/maps/place/Moortalstrasse%2036+5722+Gr%C3%A4nichen,website does not exist
"Blumenhaus Bill, Inh. Tamara Trösch",Detailhandel mit Blumen und Pflanzen,NA,tel:056 223 12 38,NA,"Bahnhofstrasse 12
5300 Turgi",https://www.google.com/maps/place/Bahnhofstrasse%2012+5300+Turgi,website does not exist
Electro Stettler + Thönen AG,Elektroinstallation,http://www.electro-stettlerthoenen.ch/,tel:032 351 58 58,fax:032 351 58 60,"Solothurnstrasse 55
3294 Büren an der Aare",https://www.google.com/maps/place/Solothurnstrasse%2055+3294+B%C3%BCren%20an%20der%20Aare,info@electro-stettlerthoenen.ch
TARAG AG,"lnstallation von Heizungs-, Lüftungs- und Klimaanlagen",http://www.tarag.ch/,tel:061 711 33 55,NA,"Sonnenweg 14
4153 Reinach BL",https://www.google.com/maps/place/Sonnenweg%2014+4153+Reinach%20BL,email not found on website
swiss Optik-Brawand GmbH,Detailhandel mit Brillen und anderen Sehhilfen,http://www.swiss-optik.ch/,tel:031 911 11 04,fax:031 911 02 00,"Ziegeleiweg 2
3052 Zollikofen",https://www.google.com/maps/place/Ziegeleiweg%202+3052+Zollikofen,email not found on website
Somedia Production AG,Verlegen von Zeitschriften,http://www.somedia-production.ch/,tel:081 255 50 50,NA,"Sommeraustrasse 32
7007 Chur",https://www.google.com/maps/place/Sommeraustrasse%2032+7007+Chur,email not found on website
Master Zahner,Allgemeiner Hoch- und Tiefbau ohne ausgeprägten Schwerpunkt,NA,tel:079 264 38 27,NA,"Roosstrasse 53
8832 Wollerau",https://www.google.com/maps/place/Roosstrasse%2053+8832+Wollerau,website does not exist
Josef Ambühl Zimmerei,"Holzbau, Zimmerei",NA,tel:041 980 15 64,NA,"Ausserdorf 39
6218 Ettiswil",https://www.google.com/maps/place/Ausserdorf%2039+6218+Ettiswil,website does not exist
carhartt,Grosshandel mit Bekleidung,NA,tel:062 926 43 27,fax:062 926 09 22,"Hauptstrasse 81
4853 Murgenthal",https://www.google.com/maps/place/Hauptstrasse%2081+4853+Murgenthal,website does not exist
bp Tankstelle Sulgen,Detailhandel mit Motorenkraftstoffen (Tankstellen),NA,NA,NA,"Romanshornstrasse 13
8583 Sulgen",https://www.google.com/maps/place/Romanshornstrasse%2013+8583+Sulgen,website does not exist
