company_name,industry,website,telephone,fax,address,address_maplink,email
TICINOCOLOR SA,Bewertungen,http://www.ticinocolor.ch/,tel:091 967 79 79,fax:091 967 79 81,"via San Gottardo 146
6942 Savosa",https://www.google.com/maps/place/via%20San%20Gottardo%20146+6942+Savosa,email not found on website
Amrein Reinigungen,Allgemeine Gebäudereinigung,NA,tel:062 771 88 70,fax:062 771 85 65,"Alzbachstrasse 17
5734 Reinach AG",https://www.google.com/maps/place/Alzbachstrasse%2017+5734+Reinach%20AG,website not found
Duplirex Sensler Papeterie,Detailhandel mit Schreibwaren und Bürobedarf,NA,tel:026 493 33 55,NA,"Hauptstrasse 17
3186 Düdingen",https://www.google.com/maps/place/Hauptstrasse%2017+3186+D%C3%BCdingen,website not found
Z-Audio Animatec AG,Grosshandel mit Geräten der Unterhaltungselektronik,http://www.z-audio.ch/,tel:044 370 20 40,fax:044 370 20 41,"Schickmattweg 7
8332 Russikon",https://www.google.com/maps/place/Schickmattweg%207+8332+Russikon,email not found on website
Vinzenz Peter AG,Sanitär- und Heizungsinstallation,http://www.vinzenzpeter.ch/,tel:041 448 12 08,fax:041 448 38 18,"Hauptstrasse 32
6034 Inwil",https://www.google.com/maps/place/Hauptstrasse%2032+6034+Inwil,info@vinzenzpeter.ch
Pinato Graphics AG,Artikel im Shop,http://www.pinato-graphics.ch/,tel:041 921 68 88,fax:041 922 04 62,"Heidenacherstrasse 27
6212 St. Erhard",https://www.google.com/maps/place/Heidenacherstrasse%2027+6212+St.%20Erhard,bad/broken link to website
Schuler Uniformen AG,Herstellung von Arbeits- und Berufsbekleidung,http://www.schuler-uniformen.ch/,tel:041 839 89 89,fax:041 838 15 54,"Hauptstrasse 27
6418 Rothenthurm",https://www.google.com/maps/place/Hauptstrasse%2027+6418+Rothenthurm,info@manufaktur6418.ch
Oeno-Tech SA,Grosshandel mit chemischen Erzeugnissen,http://www.oeno-tech.ch/,tel:027 346 14 72,fax:027 346 12 85,"Impasse des Artisans 1
1963 Vétroz",https://www.google.com/maps/place/Impasse%20des%20Artisans%201+1963+V%C3%A9troz,website not found
Hch. Borer Kartenverlag AG,Sonstiges Verlagswesen (ohne Software),http://www.hch-borer.ch/,tel:061 789 98 00,fax:061 789 98 05,"Ilbachstrasse 39
4228 Erschwil",https://www.google.com/maps/place/Ilbachstrasse%2039+4228+Erschwil,website not found
Roten Gartenbau AG,Garten- und Landschaftsbau sowie Erbringung von sonstigen gärtnerischen Dienstleistungen,http://www.roten-gartenbau.ch/,tel:079 520 24 00,NA,"Fabrikstrasse 1
3900 Gamsen",https://www.google.com/maps/place/Fabrikstrasse%201+3900+Gamsen,bad/broken link to website
